Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Population,Incident_Rate,Case_Fatality_Ratio
,Afghanistan,33.93911,67.709953,56454,2484,51550.0,2420.0,38928341.0,145.0203079550706,4.400042512488043
,Albania,41.1533,20.1683,125157,2235,91271.0,31651.0,2877799.9999999995,4349.051358676767,1.7857570890960954
,Algeria,28.0339,1.6596,117192,3093,81538.0,32561.0,43851043.0,267.2501997272904,2.6392586524677455
,Andorra,42.5063,1.5218,12010,115,11315.0,580.0,77265.0,15543.907331909662,0.9575353871773521
,Angola,-11.2027,17.8739,22311,537,20493.0,1281.0,32866268.0,67.88419056279831,2.406884496436735
,Antigua and Barbuda,17.0608,-61.7964,1136,28,820.0,288.0,97927.99999999999,1160.035944775754,2.464788732394366
,Argentina,-38.4161,-63.6167,2348821,55858,2102616.0,190347.0,45195777.0,5196.99218800907,2.378129282733763
,Armenia,40.0691,45.0382,192639,3515,173064.0,16060.0,2963234.0,6500.971573625303,1.8246564818131323
,Austria,47.5162,14.5501,546229,9339,501116.0,35774.0,9006400.0,6064.8982945461,1.709722479033519
,Azerbaijan,40.1431,47.5769,261713,3567,238125.0,20021.0,10139175.000000002,2581.206064595985,1.3629433769052357
,Bahamas,25.025885,-78.035889,9119,188,8597.0,334.0,393247.99999999994,2318.892912360648,2.061629564645246
,Bahrain,26.0275,50.55,144445,521,135315.0,8609.0,1701583.0,8488.860079114565,0.3606909204195369
,Bangladesh,23.685,90.3563,611295,9046,542099.0,60150.0,164689383.0,371.18057573875296,1.4798092573961834
,Barbados,13.1939,-59.5432,3652,42,3465.0,145.0,287371.0,1270.8310859481298,1.1500547645125958
,Belarus,53.7098,27.9534,321807,2247,312320.0,7240.0,9449321.0,3405.6097787343665,0.6982446000242382
,Belize,17.1899,-88.4976,12456,317,12090.0,49.0,397621.0,3132.6313248042734,2.544958253050739
,Benin,9.3077,2.3158,7100,90,6452.0,558.0,12123198.0,58.56540493688217,1.267605633802817
,Bhutan,27.5142,90.4336,873,1,869.0,3.0,771612.0,113.13976454487488,0.11454753722794961
,Bolivia,-16.2902,-63.5887,272411,12257,221962.0,38192.0,11673028.999999998,2333.678773521423,4.499451196904677
,Bosnia and Herzegovina,43.9159,17.6791,169626,6599,130492.0,32535.0,3280815.0,5170.239711778933,3.8903234174006345
